Date,MAC,ShotInterval,BackstrokePause,Jab,FollowThrough,TipSteer,TipSteerDir,Straightness,Finesse,Finish,ImpactX,ImpactY
2019-06-22 15:31:26.062000,886B0F61A979,7.17,0.02,10.00,4.00,7.00,L,0.80,5.67,0.91,-19.67,-41.58
2019-06-22 15:31:52.121000,886B0F61A979,0.00,1.00,10.00,-1.00,10.00,C,10.00,10.00,2.50,0.00,-0.00
2019-06-22 15:31:58.032000,886B0F61A979,4.61,0.04,10.00,8.00,3.00,R,0.00,6.50,0.79,121.29,-46.79
2019-06-22 15:32:06.387000,886B0F61A979,7.17,0.06,10.00,8.00,8.00,R,3.00,6.00,1.37,9.33,-33.73
2019-07-15 19:30:56.928000,886B0F61A979,7.17,0.56,10.00,9.00,9.00,R,0.00,6.50,0.72,13.85,-55.29
