FC:C3:AF:BD:83:9A -> {x : 0.110, y : 0.764, z : 0.607}
FC:C3:AF:BD:83:9A -> {x : 0.048, y : 0.757, z : 0.614}
FC:C3:AF:BD:83:9A -> {x : -0.030, y : 0.751, z : 0.598}
FC:C3:AF:BD:83:9A -> {x : -0.093, y : 0.736, z : 0.580}
FC:C3:AF:BD:83:9A -> {x : -0.121, y : 0.720, z : 0.578}
FC:C3:AF:BD:83:9A -> {x : -0.113, y : 0.704, z : 0.605}
FC:C3:AF:BD:83:9A -> {x : -0.090, y : 0.700, z : 0.642}
FC:C3:AF:BD:83:9A -> {x : -0.072, y : 0.705, z : 0.670}
FC:C3:AF:BD:83:9A -> {x : -0.070, y : 0.722, z : 0.691}
FC:C3:AF:BD:83:9A -> {x : -0.056, y : 0.740, z : 0.695}
FC:C3:AF:BD:83:9A -> {x : -0.042, y : 0.753, z : 0.690}
FC:C3:AF:BD:83:9A -> {x : -0.029, y : 0.759, z : 0.684}
FC:C3:AF:BD:83:9A -> {x : -0.004, y : 0.760, z : 0.661}
FC:C3:AF:BD:83:9A -> {x : 0.023, y : 0.750, z : 0.634}
FC:C3:AF:BD:83:9A -> {x : 0.040, y : 0.739, z : 0.613}
FC:C3:AF:BD:83:9A -> {x : 0.044, y : 0.738, z : 0.607}
FC:C3:AF:BD:83:9A -> {x : 0.031, y : 0.746, z : 0.610}
FC:C3:AF:BD:83:9A -> {x : 0.013, y : 0.753, z : 0.623}
FC:C3:AF:BD:83:9A -> {x : 0.002, y : 0.757, z : 0.623}
FC:C3:AF:BD:83:9A -> {x : -0.012, y : 0.755, z : 0.630}
FC:C3:AF:BD:83:9A -> {x : -0.011, y : 0.757, z : 0.633}
FC:C3:AF:BD:83:9A -> {x : -0.008, y : 0.756, z : 0.622}
FC:C3:AF:BD:83:9A -> {x : -0.016, y : 0.750, z : 0.607}
FC:C3:AF:BD:83:9A -> {x : -0.029, y : 0.743, z : 0.603}
FC:C3:AF:BD:83:9A -> {x : -0.036, y : 0.734, z : 0.606}
FC:C3:AF:BD:83:9A -> {x : -0.042, y : 0.733, z : 0.621}
FC:C3:AF:BD:83:9A -> {x : -0.056, y : 0.749, z : 0.634}
FC:C3:AF:BD:83:9A -> {x : -0.060, y : 0.764, z : 0.636}
FC:C3:AF:BD:83:9A -> {x : -0.047, y : 0.768, z : 0.627}
FC:C3:AF:BD:83:9A -> {x : -0.027, y : 0.760, z : 0.615}
FC:C3:AF:BD:83:9A -> {x : -0.005, y : 0.750, z : 0.624}
FC:C3:AF:BD:83:9A -> {x : 0.014, y : 0.745, z : 0.637}
FC:C3:AF:BD:83:9A -> {x : 0.023, y : 0.738, z : 0.648}
FC:C3:AF:BD:83:9A -> {x : 0.032, y : 0.727, z : 0.653}
FC:C3:AF:BD:83:9A -> {x : 0.036, y : 0.719, z : 0.662}
FC:C3:AF:BD:83:9A -> {x : 0.037, y : 0.720, z : 0.663}
FC:C3:AF:BD:83:9A -> {x : 0.036, y : 0.729, z : 0.668}
FC:C3:AF:BD:83:9A -> {x : 0.027, y : 0.742, z : 0.666}
FC:C3:AF:BD:83:9A -> {x : 0.022, y : 0.747, z : 0.661}
FC:C3:AF:BD:83:9A -> {x : 0.025, y : 0.742, z : 0.646}
FC:C3:AF:BD:83:9A -> {x : 0.023, y : 0.736, z : 0.639}
FC:C3:AF:BD:83:9A -> {x : 0.022, y : 0.740, z : 0.630}
FC:C3:AF:BD:83:9A -> {x : 0.022, y : 0.752, z : 0.622}
FC:C3:AF:BD:83:9A -> {x : 0.021, y : 0.764, z : 0.615}
FC:C3:AF:BD:83:9A -> {x : 0.017, y : 0.767, z : 0.608}
FC:C3:AF:BD:83:9A -> {x : 0.004, y : 0.765, z : 0.606}
FC:C3:AF:BD:83:9A -> {x : -0.019, y : 0.759, z : 0.605}
FC:C3:AF:BD:83:9A -> {x : -0.035, y : 0.751, z : 0.606}
FC:C3:AF:BD:83:9A -> {x : -0.033, y : 0.746, z : 0.613}
FC:C3:AF:BD:83:9A -> {x : -0.031, y : 0.738, z : 0.624}
FC:C3:AF:BD:83:9A -> {x : -0.040, y : 0.732, z : 0.629}
FC:C3:AF:BD:83:9A -> {x : -0.042, y : 0.723, z : 0.630}
FC:C3:AF:BD:83:9A -> {x : -0.030, y : 0.721, z : 0.635}
FC:C3:AF:BD:83:9A -> {x : -0.014, y : 0.729, z : 0.652}
FC:C3:AF:BD:83:9A -> {x : 0.001, y : 0.740, z : 0.659}
FC:C3:AF:BD:83:9A -> {x : 0.016, y : 0.741, z : 0.653}
FC:C3:AF:BD:83:9A -> {x : 0.027, y : 0.739, z : 0.650}
FC:C3:AF:BD:83:9A -> {x : 0.039, y : 0.740, z : 0.650}
FC:C3:AF:BD:83:9A -> {x : 0.047, y : 0.748, z : 0.651}
FC:C3:AF:BD:83:9A -> {x : 0.048, y : 0.754, z : 0.650}
FC:C3:AF:BD:83:9A -> {x : 0.042, y : 0.752, z : 0.646}
FC:C3:AF:BD:83:9A -> {x : 0.035, y : 0.740, z : 0.641}
FC:C3:AF:BD:83:9A -> {x : 0.024, y : 0.729, z : 0.646}
FC:C3:AF:BD:83:9A -> {x : 0.016, y : 0.726, z : 0.651}
FC:C3:AF:BD:83:9A -> {x : 0.013, y : 0.728, z : 0.649}
FC:C3:AF:BD:83:9A -> {x : 0.015, y : 0.733, z : 0.644}
FC:C3:AF:BD:83:9A -> {x : 0.016, y : 0.743, z : 0.640}
FC:C3:AF:BD:83:9A -> {x : 0.015, y : 0.753, z : 0.636}
FC:C3:AF:BD:83:9A -> {x : 0.017, y : 0.758, z : 0.628}
FC:C3:AF:BD:83:9A -> {x : 0.021, y : 0.769, z : 0.625}
FC:C3:AF:BD:83:9A -> {x : 0.014, y : 0.786, z : 0.631}
FC:C3:AF:BD:83:9A -> {x : 0.006, y : 0.798, z : 0.647}
FC:C3:AF:BD:83:9A -> {x : 0.006, y : 0.816, z : 0.672}
FC:C3:AF:BD:83:9A -> {x : 0.015, y : 0.839, z : 0.682}
FC:C3:AF:BD:83:9A -> {x : 0.034, y : 0.848, z : 0.675}
FC:C3:AF:BD:83:9A -> {x : 0.064, y : 0.837, z : 0.673}
FC:C3:AF:BD:83:9A -> {x : 0.094, y : 0.808, z : 0.675}
FC:C3:AF:BD:83:9A -> {x : 0.114, y : 0.768, z : 0.669}
FC:C3:AF:BD:83:9A -> {x : 0.136, y : 0.727, z : 0.660}
FC:C3:AF:BD:83:9A -> {x : 0.147, y : 0.694, z : 0.664}
FC:C3:AF:BD:83:9A -> {x : 0.143, y : 0.670, z : 0.676}
FC:C3:AF:BD:83:9A -> {x : 0.135, y : 0.654, z : 0.687}
FC:C3:AF:BD:83:9A -> {x : 0.105, y : 0.662, z : 0.682}
FC:C3:AF:BD:83:9A -> {x : 0.067, y : 0.690, z : 0.654}
FC:C3:AF:BD:83:9A -> {x : 0.036, y : 0.714, z : 0.627}
FC:C3:AF:BD:83:9A -> {x : 0.024, y : 0.732, z : 0.588}
FC:C3:AF:BD:83:9A -> {x : 0.029, y : 0.729, z : 0.586}
FC:C3:AF:BD:83:9A -> {x : 0.049, y : 0.710, z : 0.610}
FC:C3:AF:BD:83:9A -> {x : 0.062, y : 0.687, z : 0.644}
FC:C3:AF:BD:83:9A -> {x : 0.030, y : 0.653, z : 0.667}
FC:C3:AF:BD:83:9A -> {x : -0.018, y : 0.619, z : 0.670}
FC:C3:AF:BD:83:9A -> {x : -0.045, y : 0.594, z : 0.663}
FC:C3:AF:BD:83:9A -> {x : -0.046, y : 0.574, z : 0.672}
FC:C3:AF:BD:83:9A -> {x : -0.028, y : 0.569, z : 0.682}
FC:C3:AF:BD:83:9A -> {x : -0.008, y : 0.588, z : 0.689}
FC:C3:AF:BD:83:9A -> {x : 0.020, y : 0.628, z : 0.686}
FC:C3:AF:BD:83:9A -> {x : 0.066, y : 0.679, z : 0.686}
FC:C3:AF:BD:83:9A -> {x : 0.098, y : 0.721, z : 0.689}
FC:C3:AF:BD:83:9A -> {x : 0.099, y : 0.741, z : 0.698}
FC:C3:AF:BD:83:9A -> {x : 0.066, y : 0.736, z : 0.703}
FC:C3:AF:BD:83:9A -> {x : 0.030, y : 0.710, z : 0.699}
FC:C3:AF:BD:83:9A -> {x : 0.018, y : 0.678, z : 0.695}
FC:C3:AF:BD:83:9A -> {x : 0.044, y : 0.654, z : 0.688}
FC:C3:AF:BD:83:9A -> {x : 0.110, y : 0.647, z : 0.674}
FC:C3:AF:BD:83:9A -> {x : 0.181, y : 0.652, z : 0.663}
FC:C3:AF:BD:83:9A -> {x : 0.230, y : 0.665, z : 0.656}
FC:C3:AF:BD:83:9A -> {x : 0.243, y : 0.678, z : 0.652}
FC:C3:AF:BD:83:9A -> {x : 0.213, y : 0.686, z : 0.654}
FC:C3:AF:BD:83:9A -> {x : 0.168, y : 0.680, z : 0.663}
FC:C3:AF:BD:83:9A -> {x : 0.141, y : 0.684, z : 0.681}
FC:C3:AF:BD:83:9A -> {x : 0.118, y : 0.710, z : 0.694}
FC:C3:AF:BD:83:9A -> {x : 0.104, y : 0.745, z : 0.700}
FC:C3:AF:BD:83:9A -> {x : 0.086, y : 0.770, z : 0.707}
FC:C3:AF:BD:83:9A -> {x : 0.066, y : 0.771, z : 0.704}
FC:C3:AF:BD:83:9A -> {x : 0.065, y : 0.754, z : 0.686}
FC:C3:AF:BD:83:9A -> {x : 0.074, y : 0.724, z : 0.663}
FC:C3:AF:BD:83:9A -> {x : 0.089, y : 0.690, z : 0.645}
FC:C3:AF:BD:83:9A -> {x : 0.102, y : 0.656, z : 0.643}
FC:C3:AF:BD:83:9A -> {x : 0.113, y : 0.638, z : 0.648}
FC:C3:AF:BD:83:9A -> {x : 0.125, y : 0.646, z : 0.661}
FC:C3:AF:BD:83:9A -> {x : 0.132, y : 0.677, z : 0.670}
FC:C3:AF:BD:83:9A -> {x : 0.134, y : 0.711, z : 0.674}
FC:C3:AF:BD:83:9A -> {x : 0.124, y : 0.731, z : 0.676}
FC:C3:AF:BD:83:9A -> {x : 0.112, y : 0.728, z : 0.673}
FC:C3:AF:BD:83:9A -> {x : 0.100, y : 0.710, z : 0.671}
FC:C3:AF:BD:83:9A -> {x : 0.090, y : 0.693, z : 0.669}
FC:C3:AF:BD:83:9A -> {x : 0.089, y : 0.682, z : 0.667}
FC:C3:AF:BD:83:9A -> {x : 0.093, y : 0.688, z : 0.658}
FC:C3:AF:BD:83:9A -> {x : 0.105, y : 0.691, z : 0.651}
FC:C3:AF:BD:83:9A -> {x : 0.120, y : 0.697, z : 0.659}
FC:C3:AF:BD:83:9A -> {x : 0.133, y : 0.694, z : 0.658}
FC:C3:AF:BD:83:9A -> {x : 0.141, y : 0.696, z : 0.649}
FC:C3:AF:BD:83:9A -> {x : 0.144, y : 0.714, z : 0.647}
FC:C3:AF:BD:83:9A -> {x : 0.138, y : 0.723, z : 0.645}
FC:C3:AF:BD:83:9A -> {x : 0.131, y : 0.727, z : 0.648}
FC:C3:AF:BD:83:9A -> {x : 0.122, y : 0.725, z : 0.655}
FC:C3:AF:BD:83:9A -> {x : 0.106, y : 0.724, z : 0.667}
FC:C3:AF:BD:83:9A -> {x : 0.090, y : 0.727, z : 0.677}
FC:C3:AF:BD:83:9A -> {x : 0.078, y : 0.736, z : 0.682}
FC:C3:AF:BD:83:9A -> {x : 0.068, y : 0.744, z : 0.690}
FC:C3:AF:BD:83:9A -> {x : 0.069, y : 0.750, z : 0.685}
FC:C3:AF:BD:83:9A -> {x : 0.072, y : 0.751, z : 0.677}
FC:C3:AF:BD:83:9A -> {x : 0.081, y : 0.747, z : 0.667}
FC:C3:AF:BD:83:9A -> {x : 0.089, y : 0.744, z : 0.660}
FC:C3:AF:BD:83:9A -> {x : 0.090, y : 0.739, z : 0.660}
FC:C3:AF:BD:83:9A -> {x : 0.085, y : 0.738, z : 0.650}
FC:C3:AF:BD:83:9A -> {x : 0.079, y : 0.742, z : 0.642}
FC:C3:AF:BD:83:9A -> {x : 0.076, y : 0.742, z : 0.639}
FC:C3:AF:BD:83:9A -> {x : 0.074, y : 0.742, z : 0.636}
FC:C3:AF:BD:83:9A -> {x : 0.076, y : 0.740, z : 0.635}
FC:C3:AF:BD:83:9A -> {x : 0.078, y : 0.738, z : 0.634}
FC:C3:AF:BD:83:9A -> {x : 0.082, y : 0.734, z : 0.633}
FC:C3:AF:BD:83:9A -> {x : 0.088, y : 0.731, z : 0.626}
FC:C3:AF:BD:83:9A -> {x : 0.092, y : 0.727, z : 0.623}
FC:C3:AF:BD:83:9A -> {x : 0.094, y : 0.721, z : 0.622}
FC:C3:AF:BD:83:9A -> {x : 0.087, y : 0.715, z : 0.620}
